product_id,neg,neu,pos,compound
B08VB34KJ1,0.04,0.703,0.257,0.9486
B09T39K9YL,0.049,0.754,0.197,0.9985
B08VF8V79P,0.103,0.758,0.139,0.8307
B08G28Z33M,0.014,0.764,0.221,0.9565
B09PNKXSKF,0.057,0.831,0.112,0.7254
B0B5DDJNH4,0.04,0.725,0.235,0.999
B07WDKLDRX,0.069,0.806,0.125,0.9985
B09MQSCJQ1,0.021,0.783,0.196,0.9809
B094YFFSMY,0.0,0.869,0.131,0.9587
B08VS3YLRK,0.027,0.692,0.28,0.9701
B0B4F3QNDM,0.038,0.797,0.165,0.9973
B07WDKLRM4,0.045,0.788,0.167,0.9726
B0BP18W8TM,0.031,0.845,0.124,0.9747
B07GXHC691,0.077,0.715,0.208,0.9851
B08FN6WGDQ,0.059,0.752,0.189,0.9989
B0B3D39RKV,0.08,0.775,0.145,0.997
B085HY1DGR,0.021,0.737,0.242,0.9819
B08D75R3Z1,0.027,0.801,0.172,0.9985
B0B4F2TTTS,0.038,0.797,0.165,0.9973
B09WRMNJ9G,0.082,0.761,0.157,0.9982
B0B14MR9L1,0.036,0.799,0.165,0.9998
B09ZPL5VYM,0.0,0.853,0.147,0.8165
B0993BB11X,0.062,0.759,0.179,0.9754
B085W8CFLH,0.086,0.779,0.135,0.8796
B07RD611Z8,0.051,0.833,0.116,0.9981
B0B4F52B5X,0.038,0.797,0.165,0.9973
B096VF5YYF,0.05,0.799,0.152,0.9997
B0B5D39BCD,0.04,0.725,0.235,0.999
B09XBJ1CTN,0.048,0.754,0.198,0.984
B0B4F5L738,0.038,0.797,0.165,0.9973
B08MTCKDYN,0.0,0.831,0.169,0.8625
B09QS8V5N8,0.035,0.773,0.192,0.9998
B09T2WRLJJ,0.049,0.754,0.197,0.9985
B089WB69Y1,0.074,0.793,0.133,0.8394
B0116MIKKC,0.0,0.788,0.212,0.9522
B09P858DK8,0.048,0.741,0.212,0.9796
B07DJLFMPS,0.12,0.68,0.2,0.7184
B07WHQWXL7,0.045,0.788,0.167,0.9726
B07WDK3ZS6,0.045,0.788,0.167,0.9726
B09T2S8X9C,0.049,0.754,0.197,0.9985
B07N8RQ6W7,0.0,0.847,0.153,0.7964
B09FKDH6FS,0.047,0.777,0.175,0.8814
B07WGPKTS4,0.045,0.788,0.167,0.9726
B09MZCQYHZ,0.062,0.759,0.179,0.9754
B0B4F2ZWL3,0.038,0.797,0.165,0.9973
B08VB2CMR3,0.04,0.703,0.257,0.9486
B095RTJH1M,0.031,0.728,0.241,0.9987
B097R25DP7,0.055,0.788,0.157,0.8957
B07WDK3ZS2,0.017,0.86,0.123,0.9764
B08RZ5K9YH,0.028,0.735,0.237,0.9429
B08444S68L,0.021,0.828,0.151,0.9525
B07WHQBZLS,0.028,0.804,0.168,0.9385
B09JS562TP,0.069,0.79,0.142,0.5994
B09V17S2BG,0.0,0.738,0.262,0.9459
B0B5CGTBKV,0.04,0.725,0.235,0.999
B0B23LW7NV,0.02,0.772,0.209,0.9961
B09KGV7WSV,0.029,0.768,0.203,0.9963
B0971DWFDT,0.044,0.828,0.128,0.9278
B0BNV7JM5Y,0.06,0.715,0.226,0.9936
B0B53QFZPY,0.123,0.831,0.045,-0.607
B07WJWRNVK,0.028,0.804,0.168,0.9385
B01F25X6RQ,0.071,0.704,0.225,0.9593
B0B244R4KB,0.018,0.759,0.222,0.998
B0BMGG6NKT,0.037,0.788,0.175,0.9977
B092JHPL72,0.0,0.779,0.221,0.9807
B0B3MWYCHQ,0.019,0.823,0.158,0.9921
B09J2MM5C6,0.052,0.612,0.336,0.9966
B07Q4QV1DL,0.0,0.682,0.318,0.984
B0B56YRBNT,0.0,0.766,0.234,0.8979
B08K4PSZ3V,0.057,0.728,0.215,0.9882
B0B4F1YC3J,0.038,0.797,0.165,0.9973
B08K4RDQ71,0.057,0.728,0.215,0.9882
B085CZ3SR1,0.024,0.895,0.081,0.6369
B09YV3K34W,0.059,0.71,0.232,0.9968
B09Z6WH2N1,0.01,0.833,0.157,0.9574
B09NL4DJ2Z,0.0,0.713,0.287,0.9817
B0BGSV43WY,0.052,0.885,0.063,0.2598
B0926V9CTV,0.093,0.717,0.19,0.947
B07WGPKMP5,0.045,0.788,0.167,0.9726
B0BBFJ9M3X,0.02,0.91,0.069,0.6689
B09PLFJ7ZW,0.05,0.731,0.22,0.9815
B0B53NXFFR,0.123,0.831,0.045,-0.607
B07GNC2592,0.076,0.808,0.117,0.9069
B09TP5KBN7,0.05,0.711,0.238,0.9134
B0949SBKMP,0.023,0.758,0.219,0.9931
B09V175NP7,0.0,0.738,0.262,0.9459
B07WHSJXLF,0.017,0.86,0.123,0.9764
B0BD3T6Z1D,0.057,0.807,0.136,0.9979
B09LHYZ3GJ,0.053,0.719,0.227,0.9973
B07WFPMGQQ,0.017,0.86,0.123,0.9764
B09QS9X9L8,0.035,0.773,0.192,0.9998
B0B6BLTGTT,0.024,0.819,0.157,0.9876
B084DTMYWK,0.054,0.752,0.194,0.9611
B0B53QLB9H,0.123,0.831,0.045,-0.607
B0BDYW3RN3,0.02,0.841,0.139,0.85
B0B3RS9DNF,0.035,0.751,0.214,0.9995
B09QS9X16F,0.035,0.773,0.192,0.9998
B08HV25BBQ,0.0,0.676,0.324,0.8995
B09LJ116B5,0.053,0.719,0.227,0.9973
B0BMVWKZ8G,0.132,0.868,0.0,-0.8622
B0BD92GDQH,0.073,0.777,0.15,0.9727
B0B5GF6DQD,0.051,0.742,0.208,0.8126
B09JS94MBV,0.069,0.79,0.142,0.5994
B09YV463SW,0.01,0.791,0.199,0.9921
B09NL4DCXK,0.0,0.797,0.203,0.9366
B0B8CHJLWJ,0.093,0.695,0.213,0.9854
B0B8ZWNR5T,0.01,0.833,0.157,0.9574
B0BBFJLP21,0.021,0.907,0.072,0.6689
B01F262EUU,0.071,0.704,0.225,0.9593
B09VZBGL1N,0.0,0.683,0.317,0.936
B0BNVBJW2S,0.06,0.715,0.226,0.9936
B0B2DJ5RVQ,0.075,0.702,0.223,0.9751
B096TWZRJC,0.078,0.764,0.158,0.9864
B09GP6FBZT,0.011,0.752,0.238,0.9982
B0B3DV7S9B,0.135,0.513,0.352,0.9081
B09MKP344P,0.162,0.681,0.156,-0.1435
B08JW1GVS7,0.077,0.832,0.091,0.8861
B09LHZSMRR,0.053,0.719,0.227,0.9973
B0B5V47VK4,0.063,0.732,0.204,0.9996
B08H21B6V7,0.035,0.68,0.285,0.9933
B09BNXQ6BR,0.071,0.828,0.102,0.8573
B01FSYQ2A4,0.081,0.774,0.145,0.9991
B08L5FM4JC,0.02,0.841,0.139,0.85
B0B54Y2SNX,0.045,0.719,0.236,0.9581
B08BQ947H3,0.05,0.836,0.113,0.9981
B0B7DHSKS7,0.114,0.773,0.113,0.6539
B09SJ1FTYV,0.0,0.58,0.42,0.9829
B09XJ5LD6L,0.075,0.794,0.131,0.9974
B07WHS7MZ1,0.076,0.771,0.154,0.9984
B0BBVKRP7B,0.059,0.844,0.098,0.4201
B09NY7W8YD,0.032,0.801,0.167,0.8466
B0BMM7R92G,0.024,0.574,0.403,0.9844
B08M66K48D,0.037,0.723,0.24,0.9944
B09RFB2SJQ,0.0,0.683,0.317,0.984
B0B82YGCF6,0.063,0.829,0.108,0.7245
B08HF4W2CT,0.129,0.769,0.103,-0.4467
B08BCKN299,0.07,0.838,0.092,0.5127
B0B2X35B1K,0.121,0.703,0.176,0.8972
B09QS9CWLV,0.035,0.773,0.192,0.9998
B0B1NX6JTN,0.025,0.853,0.122,0.9473
B078G6ZF5Z,0.074,0.793,0.133,0.8394
B0BBW521YC,0.097,0.691,0.212,0.9625
B09HSKYMB3,0.0,0.893,0.107,0.629
B09YV42QHZ,0.01,0.791,0.199,0.9921
B09BF8JBWX,0.086,0.61,0.303,0.723
B0B5YBGCKD,0.048,0.81,0.141,0.9858
B09MY4W73Q,0.029,0.771,0.201,0.9873
B09T37CKQ5,0.0,0.797,0.203,0.9366
B0B298D54H,0.074,0.788,0.138,0.9413
B08VB57558,0.059,0.782,0.16,0.9997
B0B9BXKBC7,0.012,0.737,0.251,0.9942
B09NY6TRXG,0.097,0.798,0.105,0.383
B09NVPJ3P4,0.057,0.831,0.112,0.7254
